epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.1719,1.36508,2.71664,1.45906,0.01317,0.96341,0.29598,0.16128,1.21687,2.71988,1.31625,0.00034,0.00034,0.00034
2,123.714,1.31288,1.95157,1.38135,0.47849,0.46951,0.41824,0.25222,1.27184,2.68329,1.35797,0.00068614,0.00068614,0.00068614
3,179.615,1.31794,1.85095,1.42379,0.82533,0.17073,0.44714,0.25404,1.35278,2.53544,1.41096,0.00101802,0.00101802,0.00101802
4,236.245,1.36011,1.89371,1.47124,0.52353,0.3484,0.36989,0.20739,1.40937,2.36972,1.51035,0.00133565,0.00133565,0.00133565
5,305.37,1.36494,1.80931,1.42832,0.42899,0.36585,0.35913,0.19651,1.49488,2.19359,1.51465,0.00163902,0.00163902,0.00163902
6,377.233,1.37187,1.76493,1.42867,0.53474,0.43452,0.46385,0.26844,1.43916,2.22483,1.55355,0.001802,0.001802,0.001802
7,434.273,1.30244,1.69134,1.41045,0.51788,0.43902,0.44954,0.23623,1.45185,2.53536,1.61861,0.0017624,0.0017624,0.0017624
8,489.591,1.31762,1.67952,1.41123,0.54512,0.42383,0.46373,0.24838,1.37626,2.72458,1.54304,0.0017228,0.0017228,0.0017228
9,543.491,1.33758,1.65393,1.42129,0.33049,0.57317,0.38508,0.17202,1.68757,2.656,1.77977,0.0016832,0.0016832,0.0016832
10,597.325,1.35544,1.65066,1.47874,0.51102,0.39634,0.42617,0.23444,1.47433,2.41478,1.54769,0.0016436,0.0016436,0.0016436
11,651.907,1.33887,1.71334,1.43544,0.57079,0.57317,0.57303,0.32401,1.35827,2.49182,1.44211,0.001604,0.001604,0.001604
12,707.715,1.31235,1.55241,1.39835,0.58212,0.64634,0.65248,0.37022,1.35784,1.96042,1.42759,0.0015644,0.0015644,0.0015644
13,762.918,1.28262,1.54251,1.38112,0.52843,0.52614,0.51164,0.26813,1.40738,2.25894,1.49573,0.0015248,0.0015248,0.0015248
14,819.566,1.28285,1.51143,1.37103,0.51061,0.62348,0.51915,0.28643,1.37545,2.24944,1.42752,0.0014852,0.0014852,0.0014852
15,874.733,1.27259,1.50624,1.33832,0.53643,0.59146,0.57344,0.32217,1.37672,1.78448,1.43304,0.0014456,0.0014456,0.0014456
16,931.94,1.25025,1.49049,1.32217,0.57261,0.64634,0.61402,0.33761,1.29827,1.70789,1.37754,0.001406,0.001406,0.001406
17,991.106,1.25082,1.4285,1.338,0.58706,0.57927,0.58831,0.36159,1.23646,1.82436,1.36798,0.0013664,0.0013664,0.0013664
18,1046.9,1.15581,1.34551,1.3207,0.76624,0.5061,0.63116,0.40508,1.22802,1.81622,1.40626,0.0013268,0.0013268,0.0013268
19,1102.74,1.18152,1.32141,1.31588,0.63534,0.56098,0.63652,0.39563,1.27685,1.64589,1.36809,0.0012872,0.0012872,0.0012872
