epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5837.88,3.20548,4.41753,2.68373,0.0014,0.20412,0.00094,0.00027,3.57714,4.59111,2.8897,0.000664368,0.000664368,0.000664368
2,11491.8,3.15181,4.22705,2.55791,0.00073,0.07066,0.00039,0.00011,4.02265,5.46133,4.55305,0.00119926,0.00119926,0.00119926
3,16600.4,3.04063,4.23707,2.57891,0.00106,0.15407,0.00069,0.00018,3.54393,4.82543,2.96326,0.00160216,0.00160216,0.00160216
4,21668.5,3.02379,4.23991,2.56609,0.00135,0.19529,0.00087,0.00023,3.54156,4.62671,2.92107,0.001406,0.001406,0.001406
5,26807.6,2.95286,4.23826,2.55308,0.00158,0.13837,0.0009,0.00022,3.49283,4.74551,2.89388,0.001208,0.001208,0.001208
6,31932.4,2.91843,4.19294,2.57733,0.0016,0.16781,0.00104,0.00025,3.53023,4.84892,3.09434,0.00101,0.00101,0.00101
7,37193.5,2.87205,4.22995,2.58623,0.00112,0.10991,0.00077,0.00017,3.48372,4.85441,3.06744,0.000812,0.000812,0.000812
8,42598.5,2.83235,4.22642,2.56625,0.00127,0.18449,0.00091,0.00021,3.4329,4.94081,3.01541,0.000614,0.000614,0.000614
9,47997.7,2.81412,4.19262,2.54436,0.00126,0.18057,0.00088,0.00019,3.43264,4.84936,3.04981,0.000416,0.000416,0.000416
10,53457.9,2.78612,4.1898,2.55056,0.00117,0.16977,0.00084,0.00017,3.43182,4.86808,3.04927,0.000218,0.000218,0.000218
