epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.465,3.88166,4.16752,2.72786,0.0016,0.02051,0.00145,0.00053,4.24792,3.91916,2.79676,8e-05,8e-05,8e-05
2,287.76,4.06345,3.93974,2.61268,0,0,0,0,3.78519,4.99285,6.62362,0.000176436,0.000176436,0.000176436
3,429.358,3.66545,3.50673,2.64602,0.00148,0.02051,0.00076,0.00017,4.16917,305.387,7.84217,0.000268912,0.000268912,0.000268912
4,540.057,3.40956,3.05214,2.41429,0.06177,0.23077,0.0325,0.00865,3.26642,4.75554,2.81784,0.000357428,0.000357428,0.000357428
5,663.565,3.48693,2.84819,2.36996,0.0133,0.17949,0.01031,0.00287,3.22032,3.13926,2.07564,0.000441984,0.000441984,0.000441984
6,775.143,3.28498,2.61308,2.09552,0.00738,0.06667,0.00512,0.00118,3.63829,3.24488,2.25637,0.00052258,0.00052258,0.00052258
7,909.482,3.45602,2.76556,2.34838,0.00042,0.00513,0.00021,6e-05,4.15761,4114.62,10.0787,0.000599216,0.000599216,0.000599216
8,1008,3.05833,3.18158,2.20718,0.00163,0.01538,0.00058,8e-05,4.20731,12032.8,9.22506,0.000671892,0.000671892,0.000671892
9,1124.27,3.34002,2.61183,2.2095,0.0025,0.02564,0.00116,0.00027,4.09325,6624.2,8.20183,0.000740608,0.000740608,0.000740608
10,1231.41,3.12632,2.56203,2.10772,0,0,0,0,3.97934,25.3899,6.48752,0.000805364,0.000805364,0.000805364
11,1331.76,2.97943,2.65562,2.17689,0.00257,0.01026,0.00119,0.00039,3.94062,51.8753,17.1045,0.00086616,0.00086616,0.00086616
12,1452.61,3.03185,2.22542,2.06419,0.00926,0.12821,0.00564,0.00151,3.48501,50.8338,3.45882,0.000922996,0.000922996,0.000922996
13,1560.44,2.92563,2.35723,2.10314,0.00038,0.00513,0.00019,6e-05,5.34442,12285.6,244.739,0.000975872,0.000975872,0.000975872
14,1656.56,3.28074,2.54486,2.45137,0.00038,0.00513,0.00019,6e-05,5.34442,12285.6,244.739,0.00102479,0.00102479,0.00102479
