epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.2004,3.45222,3.15865,2.47256,0.02851,0.36923,0.03193,0.00883,3.34867,3.28793,2.41636,8e-05,8e-05,8e-05
2,180.703,3.46083,2.62302,2.39558,0.03259,0.45128,0.06165,0.01754,3.34093,3.28931,2.69306,0.000174006,0.000174006,0.000174006
3,265.718,2.95457,2.62397,2.12355,0.03008,0.41026,0.04981,0.01471,3.34015,2.804,2.47638,0.000261352,0.000261352,0.000261352
4,405.522,3.1828,3.31198,2.37105,0.17577,0.46667,0.14116,0.04285,2.9563,4.93371,2.0808,0.000342038,0.000342038,0.000342038
5,512.206,3.01016,4.1249,2.3066,0.04998,0.60513,0.07423,0.02097,2.98291,64.6369,2.12065,0.000416064,0.000416064,0.000416064
6,647.82,3.06172,2.47539,2.06626,0.05139,0.60513,0.07663,0.02042,3.12451,65.0995,2.37262,0.00048343,0.00048343,0.00048343
7,808.772,2.96108,2.57768,2.23638,0.05877,0.64615,0.12453,0.0273,3.09878,2.43956,2.12732,0.000544136,0.000544136,0.000544136
8,984.463,3.019,2.78539,1.99577,0.10255,0.60513,0.17685,0.03599,3.0696,2.4238,2.18858,0.000598182,0.000598182,0.000598182
9,1099,2.96923,2.22402,2.23527,0.22923,0.35385,0.2019,0.04239,3.09232,2.35003,2.30171,0.000645568,0.000645568,0.000645568
10,1179.26,2.87758,3.50125,2.09739,0.26188,0.40513,0.18163,0.0459,3.03124,3.25837,2.16323,0.000686294,0.000686294,0.000686294
11,1264.64,2.6949,2.6536,1.9938,0.23176,0.36923,0.16801,0.04167,3.08477,2.72548,2.0013,0.00072036,0.00072036,0.00072036
12,1352.27,2.77347,2.02264,1.99734,0.19363,0.28718,0.14348,0.03738,3.11846,2.62745,2.03401,0.000747766,0.000747766,0.000747766
13,1434.78,2.66363,2.28643,2.06951,0.16615,0.21538,0.10031,0.02855,2.96634,2.94846,2.05503,0.000768512,0.000768512,0.000768512
14,1518.24,2.82951,2.16479,1.88418,0.16615,0.21538,0.10031,0.02855,2.96634,2.94846,2.05503,0.000782598,0.000782598,0.000782598
15,1611.73,2.78896,2.3768,2.07994,0.12925,0.45519,0.10107,0.02829,3.07296,5.51293,2.15901,0.000790024,0.000790024,0.000790024
16,1711.28,2.48228,2.06163,1.87629,0.14974,0.44103,0.09179,0.02726,3.06785,10.6289,2.35675,0.00079079,0.00079079,0.00079079
17,1805.34,2.20135,2.88456,1.74994,0.16921,0.48718,0.11516,0.03486,3.0821,6.14145,2.31009,0.000784896,0.000784896,0.000784896
18,1887.31,2.61755,2.04052,1.80065,0.16921,0.48718,0.11516,0.03486,3.0821,6.14145,2.31009,0.000772342,0.000772342,0.000772342
19,1976.77,2.66009,1.88673,1.80035,0.12688,0.4359,0.08328,0.02467,3.00825,3.57525,2.04444,0.000753128,0.000753128,0.000753128
20,2060.03,2.4104,1.96138,1.82023,0.1767,0.62564,0.19446,0.05269,2.82821,2.91548,1.85128,0.000727254,0.000727254,0.000727254
21,2139.84,2.20633,2.33159,1.68027,0.1767,0.62564,0.19446,0.05269,2.82821,2.91548,1.85128,0.000668,0.000668,0.000668
22,2221.4,2.42426,1.95828,1.79292,0.14757,0.5641,0.16555,0.03888,3.04779,2.72762,2.04503,0.0006014,0.0006014,0.0006014
23,2306.22,2.32884,1.87948,1.64981,0.15084,0.56923,0.14697,0.03834,2.98153,2.87677,1.9666,0.0005348,0.0005348,0.0005348
24,2391.37,2.49236,1.96342,1.74668,0.15084,0.56923,0.14697,0.03834,2.98153,2.87677,1.9666,0.0004682,0.0004682,0.0004682
25,2471.54,2.20353,2.24548,1.75801,0.15349,0.57436,0.12127,0.03163,2.92182,2.70005,1.96154,0.0004016,0.0004016,0.0004016
26,2552.71,2.4871,1.92072,1.98167,0.15349,0.57436,0.12127,0.03163,2.92182,2.70005,1.96154,0.000335,0.000335,0.000335
27,2745.62,2.12432,1.67966,1.58441,0.15553,0.61026,0.12197,0.03155,2.87028,2.80784,1.96848,0.0002684,0.0002684,0.0002684
28,2851.57,2.30483,2.10275,1.94301,0.14252,0.57436,0.11878,0.03026,2.84782,2.79201,1.97507,0.0002018,0.0002018,0.0002018
29,2949.18,1.95571,1.98379,1.64721,0.14252,0.57436,0.11878,0.03026,2.84782,2.79201,1.97507,0.0001352,0.0001352,0.0001352
30,3028.28,2.2161,1.66249,1.58711,0.14307,0.61538,0.12206,0.03114,2.80822,2.93493,1.86249,6.86e-05,6.86e-05,6.86e-05
